ts_utc;kind;side;price_hint;range_id;message_id;confidence
2025-10-15T12:24:56Z;range_open;BUY;4182.0;2025-10-15-5;12699;0.95
2025-10-15T12:25:58Z;range_close;;;2025-10-15-5;12704;
2025-10-15T12:28:28Z;range_open;BUY;4181.0;2025-10-15-6;12706;0.95
2025-10-15T12:30:54Z;range_close;;;2025-10-15-6;12710;
2025-10-16T07:20:15Z;range_open;SELL;4232.0;2025-10-16-1;12716;0.95
2025-10-16T07:40:55Z;range_close;;;2025-10-16-1;12733;
2025-10-16T08:02:38Z;range_open;SELL;4235.0;2025-10-16-2;12736;0.95
2025-10-16T08:36:56Z;range_close;;;2025-10-16-2;12749;
2025-10-16T08:47:35Z;range_open;SELL;4233.0;2025-10-16-3;12752;0.95
2025-10-16T08:51:17Z;range_close;;;2025-10-16-3;12758;
2025-10-16T09:02:48Z;range_open;SELL;4234.0;2025-10-16-4;12760;0.95
2025-10-16T09:12:34Z;range_close;;;2025-10-16-4;12768;
2025-10-16T09:27:17Z;range_open;BUY;4226.0;2025-10-16-5;12770;0.95
2025-10-16T09:32:01Z;range_close;;;2025-10-16-5;12771;
2025-10-16T09:54:13Z;range_open;SELL;4233.0;2025-10-16-6;12773;0.95
2025-10-16T12:26:13Z;range_close;;;2025-10-16-6;12775;
2025-10-17T10:33:42Z;range_open;BUY;4333.0;2025-10-17-1;12781;0.95
2025-10-17T10:42:39Z;range_close;;;2025-10-17-1;12785;
2025-10-17T10:49:36Z;range_open;SELL;4336.0;2025-10-17-2;12789;0.95
2025-10-17T10:53:26Z;range_close;;;2025-10-17-2;12795;
2025-10-17T11:13:28Z;range_open;BUY;4321.0;2025-10-17-3;12797;0.95
2025-10-17T11:17:18Z;range_close;;;2025-10-17-3;12806;
2025-10-17T11:20:22Z;range_open;SELL;4332.0;2025-10-17-4;12808;0.95
2025-10-17T11:26:18Z;range_close;;;2025-10-17-4;12819;
2025-10-17T12:03:02Z;range_open;BUY;4288.0;2025-10-17-5;12822;0.95
2025-10-17T12:08:22Z;range_close;;;2025-10-17-5;12833;
2025-10-17T14:23:53Z;range_open;BUY;4225.0;2025-10-17-6;12837;0.95
2025-10-17T14:27:40Z;range_close;;;2025-10-17-6;12851;
2025-10-20T07:06:50Z;range_open;SELL;4240.0;2025-10-20-1;12857;0.95
2025-10-20T10:08:01Z;range_close;;;2025-10-20-1;12859;
2025-10-20T10:50:39Z;range_open;SELL;4259.0;2025-10-20-2;12864;0.95
2025-10-20T11:18:45Z;range_close;;;2025-10-20-2;12877;
2025-10-20T11:23:43Z;range_open;SELL;4262.0;2025-10-20-3;12879;0.95
2025-10-20T19:50:27Z;range_close;;;2025-10-20-3;12884;
2025-10-21T07:11:44Z;range_open;BUY;4333.0;2025-10-21-1;12889;0.95
2025-10-21T12:10:57Z;range_close;;;2025-10-21-1;12896;
2025-10-21T14:42:38Z;range_open;BUY;4109.0;2025-10-21-2;12901;0.95
2025-10-21T14:46:56Z;range_close;;;2025-10-21-2;12905;
2025-10-22T06:55:02Z;range_open;SELL;4160.0;2025-10-22-1;12913;0.95
2025-10-22T07:01:12Z;range_close;;;2025-10-22-1;12926;
2025-10-22T07:07:15Z;range_open;BUY;4135.0;2025-10-22-2;12928;0.95
2025-10-22T07:09:24Z;range_close;;;2025-10-22-2;12933;
2025-10-22T07:23:57Z;range_open;BUY;4138.0;2025-10-22-3;12936;0.95
2025-10-22T07:29:31Z;range_close;;;2025-10-22-3;12948;
2025-10-22T08:10:28Z;range_open;BUY;4100.0;2025-10-22-4;12950;0.95
2025-10-22T08:20:42Z;range_close;;;2025-10-22-4;12956;
2025-10-22T09:08:55Z;range_open;SELL;4100.0;2025-10-22-5;12961;0.95
2025-10-22T09:13:42Z;range_close;;;2025-10-22-5;12975;
2025-10-22T10:24:51Z;range_open;SELL;4081.0;2025-10-22-6;12977;0.95
2025-10-22T10:27:26Z;range_close;;;2025-10-22-6;12984;
2025-10-22T11:01:44Z;range_open;BUY;4027.0;2025-10-22-7;12986;0.95
2025-10-22T11:05:11Z;range_close;;;2025-10-22-7;12989;
2025-10-22T11:25:34Z;range_open;SELL;4043.0;2025-10-22-8;12993;0.95
2025-10-22T11:30:49Z;range_close;;;2025-10-22-8;13010;
2025-10-22T12:04:14Z;range_open;SELL;4043.0;2025-10-22-9;13013;0.95
2025-10-22T12:10:36Z;range_close;;;2025-10-22-9;13029;
2025-10-22T16:37:44Z;range_open;SELL;4058.0;2025-10-22-10;13031;0.95
2025-10-22T16:42:20Z;range_close;;;2025-10-22-10;13042;
2025-10-23T07:15:07Z;range_open;SELL;4116.0;2025-10-23-1;13048;0.95
2025-10-23T07:25:42Z;range_close;;;2025-10-23-1;13054;
2025-10-23T07:50:43Z;range_open;SELL;4101.0;2025-10-23-2;13057;0.95
2025-10-23T08:02:04Z;range_close;;;2025-10-23-2;13072;
2025-10-23T08:04:05Z;range_open;SELL;4106.0;2025-10-23-3;13075;0.95
2025-10-23T10:30:04Z;range_close;;;2025-10-23-3;13077;
2025-10-23T10:40:09Z;range_open;SELL;4116.0;2025-10-23-4;13080;0.95
2025-10-23T10:47:25Z;range_close;;;2025-10-23-4;13093;
2025-10-23T11:01:30Z;range_open;SELL;4113.0;2025-10-23-5;13095;0.95
2025-10-23T11:19:09Z;range_close;;;2025-10-23-5;13103;
2025-10-23T12:27:45Z;range_open;SELL;4109.0;2025-10-23-6;13106;0.95
2025-10-23T13:20:15Z;range_close;;;2025-10-23-6;13108;
